d17Ow,d18Ow,Dp17Ow,sum_distance,avg_temperature,min_temperature,max_temperature
-5.462,-10.40000000000002,43.0,6.4866,24.6,15.0,31.0
-5.461,-10.40000000000002,44.0,6.0929,24.0,15.0,30.0
-5.4605,-10.40000000000002,44.5,5.4867,23.9,15.0,30.0
-5.46,-10.40000000000002,45.0,5.9986,23.7,15.0,30.0
-5.4595,-10.40000000000002,45.5,6.2546,23.1,14.0,29.0
-5.459,-10.40000000000002,46.0,5.2376,23.0,14.0,29.0
-5.4585,-10.40000000000002,46.5,5.3173,22.9,14.0,29.0
-5.458,-10.40000000000002,47.0,5.9064,22.7,14.0,29.0
-5.4575,-10.40000000000002,47.5,5.5698,22.1,13.0,28.0
-5.457,-10.40000000000002,48.0,5.0936,22.0,13.0,28.0
-5.4565,-10.40000000000002,48.5,5.8258,21.7,13.0,28.0
-5.456,-10.40000000000002,49.0,6.1361,21.6,13.0,27.0
-5.4555,-10.40000000000002,49.5,5.9123,21.1,12.0,27.0
-5.455,-10.40000000000002,50.0,6.0572,21.0,12.0,27.0
-5.3574,-10.20000000000002,41.5,6.6607,25.6,16.0,32.0
-5.3564,-10.20000000000002,42.5,6.0529,25.0,16.0,31.0
-5.3559,-10.20000000000002,43.0,5.8743,24.6,15.0,31.0
-5.3554,-10.20000000000002,43.5,6.2454,24.4,15.0,31.0
-5.3549,-10.20000000000002,44.0,5.6911,24.0,15.0,30.0
-5.3544,-10.20000000000002,44.5,5.2321,23.9,15.0,30.0
-5.3539,-10.20000000000002,45.0,5.6983,23.7,15.0,30.0
-5.3534,-10.20000000000002,45.5,5.9591,23.3,14.0,29.0
-5.3529,-10.20000000000002,46.0,5.1323,23.0,14.0,29.0
-5.3524,-10.20000000000002,46.5,5.4201,22.9,14.0,29.0
-5.3519,-10.20000000000002,47.0,5.978,22.7,14.0,29.0
-5.3514,-10.20000000000002,47.5,5.8013,22.1,13.0,28.0
-5.3509,-10.20000000000002,48.0,5.4607,22.0,13.0,28.0
-5.3504,-10.20000000000002,48.5,6.3275,21.7,13.0,28.0
-5.3494,-10.20000000000002,49.5,6.6717,21.1,12.0,27.0
-5.2517,-10.000000000000021,41.0,5.9288,25.7,16.0,32.0
-5.2512,-10.000000000000021,41.5,6.0002,25.6,16.0,32.0
-5.2507,-10.000000000000021,42.0,6.4498,25.1,16.0,32.0
-5.2502,-10.000000000000021,42.5,5.5878,25.0,16.0,31.0
-5.2497,-10.000000000000021,43.0,5.5343,24.6,15.0,31.0
-5.2493,-10.000000000000021,43.5,5.8795,24.4,15.0,31.0
-5.2488,-10.000000000000021,44.0,5.4586,24.0,15.0,30.0
-5.2483,-10.000000000000021,44.5,5.2235,23.9,15.0,30.0
-5.2478,-10.000000000000021,45.0,5.6559,23.7,15.0,30.0
-5.2473,-10.000000000000021,45.5,5.9399,23.3,14.0,29.0
-5.2468,-10.000000000000021,46.0,5.3186,23.0,14.0,29.0
-5.2463,-10.000000000000021,46.5,5.7439,22.9,14.0,29.0
-5.2458,-10.000000000000021,47.0,6.3406,22.7,14.0,29.0
-5.2453,-10.000000000000021,47.5,6.3898,22.1,13.0,28.0
-5.2448,-10.000000000000021,48.0,6.1479,22.0,13.0,28.0
-5.1476,-9.800000000000022,39.0,6.5403,26.7,17.0,33.0
