d17Ow,Dp17Ow,d18Ow,sum_distance,avg_temperature,min_temperature,max_temperature
-0.9773,-26.5,-1.8,14.999,42.7143,23.0,54.0
-0.9768,-26.0,-1.8,15.0744,41.8571,22.0,53.0
-0.9763,-25.5,-1.8,15.1863,40.8571,21.0,52.0
-0.9758,-25.0,-1.8,15.3288,40.4286,21.0,52.0
-0.9753,-24.5,-1.8,15.4298,39.5714,20.0,51.0
-0.9748,-24.0,-1.8,15.5091,39.1429,20.0,50.0
-0.9743,-23.5,-1.8,15.6119,38.1429,19.0,49.0
-0.9738,-23.0,-1.8,15.8293,37.5714,19.0,48.0
-0.8736,-28.5,-1.6,15.1882,45.5714,25.0,57.0
-0.8731,-28.0,-1.6,14.956,45.0,25.0,57.0
-0.8726,-27.5,-1.6,14.8875,44.1429,24.0,56.0
-0.8721,-27.0,-1.6,15.0553,43.2857,23.0,55.0
-0.8716,-26.5,-1.6,15.183,42.7143,23.0,54.0
-0.8711,-26.0,-1.6,15.2446,41.8571,22.0,53.0
-0.8706,-25.5,-1.6,15.4117,41.0,22.0,52.0
-0.8701,-25.0,-1.6,15.5225,40.5714,21.0,52.0
-0.8696,-24.5,-1.6,15.637,39.7143,20.0,51.0
-0.8691,-24.0,-1.6,15.6899,39.1429,20.0,50.0
-0.7679,-28.5,-1.4,15.0697,45.7143,25.0,58.0
-0.7674,-28.0,-1.4,15.005,45.1429,25.0,57.0
-0.7669,-27.5,-1.4,15.0864,44.1429,24.0,56.0
-0.7664,-27.0,-1.4,15.2637,43.4286,23.0,55.0
-0.7659,-26.5,-1.4,15.3614,42.8571,23.0,54.0
-0.7654,-26.0,-1.4,15.4456,41.8571,22.0,53.0
-0.7649,-25.5,-1.4,15.619,41.4286,22.0,53.0
-0.7644,-25.0,-1.4,15.7169,40.5714,21.0,52.0
-0.7639,-24.5,-1.4,15.8162,39.8571,20.0,51.0
-0.6618,-28.0,-1.2,15.1689,45.1429,25.0,57.0
-0.6613,-27.5,-1.2,15.3144,44.1429,24.0,56.0
-0.6608,-27.0,-1.2,15.4629,43.5714,23.0,55.0
-0.6603,-26.5,-1.2,15.5337,42.8571,23.0,54.0
-0.6598,-26.0,-1.2,15.6702,41.8571,22.0,53.0
-0.6593,-25.5,-1.2,15.8412,41.4286,22.0,53.0
-0.5561,-28.0,-1.0,15.3716,45.1429,25.0,57.0
-0.5556,-27.5,-1.0,15.5329,44.4286,24.0,56.0
-0.5551,-27.0,-1.0,15.664,43.7143,24.0,55.0
-0.5546,-26.5,-1.0,15.7291,42.8571,23.0,54.0
-0.4505,-28.0,-0.8,15.6002,45.1429,25.0,57.0
-0.45,-27.5,-0.8,15.7352,44.4286,24.0,56.0
-0.3448,-28.0,-0.6,15.8386,45.4286,25.0,57.0
