SampleName,d18O_CO2,d17O_CO2,Dp17O_CO2,d18O_error,d17O_error,Dp17O_error,Replicates,d18O_AC,d17O_AC,Dp17O_AC,Type,Flow
UYFAR-10,36.36431449834586,18.910722984975354,-125.35452686848221,0.09082637341345691,0.04978061138610772,4.155734558686705,3,25.84935857297296,13.490867037916814,-74.3659581007794,late,3
UYFAR-11L,34.756229770813576,18.071484066993815,-129.43128060930914,0.35866077887766384,0.1795786868541394,7.955553741529538,6,24.257589478657337,12.656092253973725,-78.45562071128853,late,3
UYFAR-11M,35.559346593976805,18.461568223132204,-156.0010180825966,0.10463843410606853,0.058856875681372246,4.681985616453529,4,25.05255787575038,13.044101449189839,-105.01266238051521,early,3
UYFAR-18-2,35.09144374917736,18.2184893243727,-156.0736862457238,0.2399249967120825,0.12064052165304513,6.05390313837407,6,24.589402374835345,12.802315551461106,-105.09053118000722,early,2
UYFAR-1B,34.904568687443934,18.13130983669196,-146.367851684996,0.13127757743553273,0.06727508647122223,8.708188062216754,4,24.404423348125647,12.715599794560717,-95.38027543035632,late,4
UYFAR-24F-A,36.49961170648064,18.976841787951706,-129.3909986878532,0.09138586110825948,0.052686182622185995,5.152401813908695,2,25.983283055165202,13.556634137471633,-78.40223156386905,late,3
UYFAR-24F-C,36.22220194577146,18.836633006513274,-125.66224612290443,0.16964513071994355,0.0825456641767098,6.176280705827167,4,25.708687894849163,13.417171163669536,-74.67596637719431,late,3
UYFAR-7J,34.58101652067684,17.968949578114245,-140.7461553458326,0.23734089688279933,0.12259423225355634,3.5419357347042997,5,24.084153942763578,12.554103173192061,-89.76234404311256,late,2
UYFAR-98,33.028329605231576,17.17854459837158,-124.49417788651296,0.08567424478899452,0.04271852645041812,1.7926228454039599,2,22.54722059414155,11.767902566838984,-73.50551999077304,late,5
